"Packet","Sequence","Delta (ms)","Jitter (ms)","Skew","Bandwidth","Marker","Status"
"127.0.0.1:56795 → 127.0.0.1:5004 (0x03b7f841)"
10354,3737,5.596848000001046,0.02751701219549239,13074.210953444446,9470.304,"","OK"
10313,3696,3.848042000012356,0.03515898385954343,13074.200800222214,9459.456,"","OK"
10314,3697,3.889257999995607,0.036456839034107735,13074.144875555561,9459.456,"","OK"
10312,3695,3.746767999997246,0.03652233833792144,13074.215508888898,9448.608,"","OK"
10355,3738,5.637009999991278,0.028110323933274697,13074.173943444446,9448.608,"","OK"
10310,3693,3.7620420000021113,0.030547313347912927,13074.178749111117,9437.76,"","OK"
10311,3694,3.8942499999975553,0.032445397930485405,13074.117832444448,9437.76,"","OK"
10356,3739,5.630374000000302,0.02825180368710009,13074.143569444452,9437.76,"","OK"
10309,3692,3.905083999998169,0.0278310453483789,13074.107457777776,9426.912,"","OK"
10307,3690,3.827006999999867,0.025352497522076342,13074.197370111113,9416.064,"","OK"
10308,3691,3.8514949999953387,0.024903070593625072,13074.179208444446,9416.064,"","OK"
10357,3740,5.56293500000902,0.028802628455546896,13074.180634444434,9416.064,"","OK"
10306,3689,3.7835550000017975,0.025880167727092014,13074.179932666666,9405.216,"","OK"
10358,3741,5.609046999990824,0.027567901676137898,13074.171587444449,9405.216,"","OK"
10497,3880,3.218981999991229,0.0202195495469705,13074.093331444441,9405.216,"","OK"
10498,3881,3.0094850000023143,0.02669634853426176,13074.217179777785,9405.216,"","OK"
10499,3882,3.1632709999976214,0.02689893091750967,13074.187242111118,9405.216,"","OK"
10500,3883,3.305521000002045,0.02626157412408807,13074.203943333341,9405.216,"","OK"
10501,3884,3.4924259999970673,0.025535739630017946,13074.189295111122,9405.216,"","OK"
10502,3885,3.481952000001911,0.02489508923701903,13074.17400977778,9405.216,"","OK"
10503,3886,3.432159000003594,0.02619031977061204,13074.219628555555,9405.216,"","OK"
10504,3887,3.476330000004964,0.024643910895769863,13074.221076333328,9405.216,"","OK"
10505,3888,3.4720519999973476,0.023440249798376236,13074.21569099999,9405.216,"","OK"
10506,3889,3.5065099999919767,0.02377099807434494,13074.186958777776,9405.216,"","OK"
10507,3890,3.4630489999981364,0.023205859305946177,13074.201687555556,9405.216,"","OK"
10508,3891,3.4163620000035735,0.02489953476625293,13074.251992222227,9405.216,"","OK"
10509,3892,3.512732999995933,0.025528015231976606,13074.21703700001,9405.216,"","OK"
10510,3893,3.4826350000075763,0.024236090669320264,13074.21217977778,9405.216,"","OK"
10511,3894,3.550331999998889,0.02795041833617607,13074.128514444441,9405.216,"","OK"
10512,3895,3.4206989999947837,0.02977094080162241,13074.185593222224,9405.216,"","OK"
10513,3896,3.4753710000077263,0.02806068061216944,13074.187999999995,9405.216,"","OK"
10514,3897,3.4463810000015656,0.027574742240962735,13074.208285666668,9405.216,"","OK"
10515,3898,3.4760200000018813,0.025961181961916307,13074.210043444444,9405.216,"","OK"
10516,3899,3.471246000000974,0.024746844200366973,13074.21657522222,9405.216,"","OK"
10517,3900,3.5047449999983655,0.025580062271499646,13074.178496888882,9405.216,"","OK"
10518,3901,3.5408689999894705,0.0279245097677415,13074.115405666671,9405.216,"","OK"
10519,3902,3.4683440000080736,0.026768839017884374,13074.124839444441,9405.216,"","OK"
10520,3903,3.410441999993054,0.028609828246852445,13074.181064111122,9405.216,"","OK"
10521,3904,3.443037999997614,0.028992950091795124,13074.215803888888,9405.216,"","OK"
