"Packet","Sequence","Delta (ms)","Jitter (ms)","Skew","Bandwidth","Marker","Status"
"127.0.0.1:56795 → 127.0.0.1:5004 (0x03b7f841)"
75,11458,2.068740000000048,8.517950153547227,11655.866583111112,770.208,"","OK"
76,11459,2.0512919999999895,7.985844741172698,11655.870846666667,781.056,"","OK"
77,11460,2.030813999999964,7.488275792071692,11655.895588222222,791.904,"","OK"
78,11461,2.091621000000032,7.022512645345041,11655.859522777777,802.752,"","OK"
79,11462,2.046077999999966,6.584892396677698,11655.880111444445,813.6,"","OK"
80,11463,2.131927000000019,6.178109837163171,11655.80374,824.448,"","OK"
81,11464,1.9887449999999944,5.796153632062758,11655.870550555555,835.296,"","OK"
82,11465,2.1239819999999554,5.438170682836661,11655.802124111111,846.144,"","OK"
83,11466,2.0527980000000525,5.0984573623816525,11655.804881666667,856.992,"","OK"
84,11467,2.0490760000000137,4.78020874945497,11655.811361222222,867.84,"","OK"
85,11468,2.061617999999953,4.48182460539186,11655.805298777777,878.688,"","OK"
86,11469,2.0657079999999723,4.202345095332581,11655.795146333334,889.536,"","OK"
87,11470,2.050559000000021,3.940010811596465,11655.80014288889,900.384,"","OK"
88,11471,2.0434470000000147,3.6945169205939705,11655.812251444444,911.232,"","OK"
89,11472,2.071288999999979,3.4645929533346744,11655.796518,922.08,"","OK"
90,11473,2.052154000000087,3.2482684909735373,11655.799919555557,932.928,"","OK"
91,11474,2.0473799999999756,3.0457626825098645,11655.808095111111,943.776,"","OK"
92,11475,1.9689449999999624,2.8608156745752855,11655.894705666668,954.624,"","OK"
93,11476,2.048744000000056,2.6824404171364984,11655.901517222223,965.472,"","OK"
94,11477,2.0525559999999814,2.51497536328764,11655.904516777777,976.32,"","OK"
95,11478,2.055665999999974,2.3577963058598757,11655.904406333333,987.168,"","OK"
96,11479,2.0586680000000115,2.2106285645214623,11655.901293888888,998.016,"","OK"
97,11480,2.052516999999966,2.0726541889611583,11655.904332444445,1008.864,"","OK"
98,11481,2.055543000000057,1.943114086873254,11655.904344999999,1019.712,"","OK"
99,11482,2.0760739999999487,1.822951859221387,11655.883826555557,1030.56,"","OK"
100,11483,2.0365020000000413,1.7102082152422193,11655.90288011111,1041.408,"","OK"
101,11484,2.1781819999999925,1.6109843545672948,11655.780253666668,1052.256,"","OK"
102,11485,1.9551420000000235,1.5165736796290092,11655.880667222222,1063.104,"","OK"
103,11486,2.0406059999999115,1.4227221718743734,11655.895616777778,1073.952,"","OK"
104,11487,7.5640750000000025,1.3357233902988086,11655.864875111112,1084.8,"","OK"
105,11488,9.70382600000005,1.2533904422939304,11655.883271333332,1095.648,"","OK"
